Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
City and County of San Francisco : SF Fair Lending Working Group,615,536,0:00:38,55,67.27,13.82
City and County of San Francisco : Mayor Lee Announces Local Hire Policy Surpasses Initial First Year Goal,614,582,0:00:30,118,94.07,33.06
San Francisco Fire Department : NERT News Room,613,540,0:01:00,183,71.04,37.68
San Francisco Rent Board : Topic No. 406: Financial Hardship Appeals,613,560,0:01:30,183,69.95,36.38
San Francisco Police Department : Oral Test,611,515,0:03:14,465,70.54,66.12
City and County of San Francisco : Second Floor - 10 of 14,611,511,0:00:06,1,100,1.64
City and County of San Francisco : Community Benefit Agreements (2013),610,485,0:01:44,372,56.99,47.38
San Francisco Homeless Counts | Local Homeless Coordinating Board,609,450,0:00:11,38,21.05,7.39
San Francisco Public Works : San Francisco War Memorial Opera House,608,309,0:00:18,299,14.72,45.39
San Francisco Port Department : Port Events : Science Saturdays,608,306,0:00:41,38,26.32,13.16
H-3 Level II: Paramedic | Fire Department,607,509,0:01:57,150,57.72,47.45
City and County of San Francisco : Full Reentry Council,607,363,0:00:43,151,83.44,28.83
San Francisco Public Works : Outreach and Enforcement Team (OnE Team),606,285,0:00:37,166,22.29,25.91
San Francisco Department of Emergency Management : Annual EMS Awards,606,503,0:01:18,316,86.08,58.09
Section 37.2 Definitions | Rent Board,605,513,0:03:00,128,65.87,43.31
San Francisco Police Department : Department News and Updates : SFPD Arrest Vandalism & Road Rage Suspect,604,574,0:02:20,501,87.62,80.13
Board of Supervisors : Resolutions 2012,603,425,0:01:03,59,67.8,20.56
City and County of San Francisco : Writing an Effective Business Plan,602,525,0:03:49,393,85.24,70.93
City and County of San Francisco : Grant Cycle,602,480,0:01:36,95,65.26,39.7
Office of the Mayor : News Releases : Mayor Lee Appoints Colin Lacon as Mayor’s Director of Strategic Partnerships,602,532,0:03:40,516,85.85,82.56
City and County of San Francisco : Archives,602,371,0:00:38,26,50,7.97
"Department of Children, Youth and Their Families : About Our Funding",601,498,0:01:49,162,68.52,39.93
City and County of San Francisco : South Light Court - 3 of 3,601,496,0:00:07,6,50,6.66
San Francisco Fire Department : Firefighters Memorial Wall,600,524,0:01:23,317,84.86,58.67
San Francisco Rent Board : New Ordinance Amendment Re Increased Ellis Relocation Payments to Tenants (6/14/15),600,493,0:02:11,175,72.57,40.17
San Francisco Port Department : Port Events : Fleet Week · VISITING SHIPS,600,227,0:01:03,135,39.26,28.83
San Francisco Department of Emergency Management : EMS Plans,600,540,0:00:37,45,93.33,18.17
San Francisco Ethics Commission: Other Campaign Filers - Forms and Manuals,600,385,0:01:38,40,30,20.67
San Francisco Ethics Commission: Permit Consultants - Forms and Instructions,600,417,0:02:43,178,55.62,39.17
San Francisco Fire Department : San Francisco EMS Awards,600,548,0:01:29,277,79.06,51.33
Section 37.3 Rent Limitations | Rent Board,599,523,0:03:47,126,73.44,42.4
Administration Building Lobby | Treasure Island Development Authority,599,482,0:01:03,106,65.09,29.88
City and County of San Francisco : MCO Historical Rates,599,517,0:01:34,61,65.57,30.55
San Francisco Department of Emergency Management : Exercise Program,598,551,0:00:18,59,88.14,13.88
San Francisco Port Department : Waterfront Land Use Plan Update Working Group,598,200,0:00:28,116,2.59,19.9
City and County of San Francisco : Personal and Professional Development Opportunities,598,411,0:00:56,143,93.71,35.95
Search | Shelter Monitoring Committee,596,564,0:00:11,4,25,4.19
District & Citywide Maps | Department of Elections,595,258,0:01:29,16,13.33,28.4
San Francisco District Attorney : In the News,595,519,0:00:47,77,96.1,30.76
San Francisco Police Department : SFPD Course Catalog,595,448,0:00:15,194,93.3,33.95
Office of the Mayor : News Releases : Mayor Lee’s Statement on Governor Brown’s First Ever Statewide Mandatory Water Restrictions,595,519,0:01:54,430,86.28,75.29
Ambulance Billing | Fire Department,594,458,0:01:19,362,53.72,45.79
Press Room | Fire Department,594,428,0:01:15,64,39.68,16.67
City and County of San Francisco : 2016 Events Brochure and Featured Vendors Directory,594,456,0:01:23,55,63.64,33.33
Board of Supervisors : Complaint Committee,594,355,0:01:38,28,46.43,19.87
Office of Community Investment and Infrastructure : Employment Opportunities,593,482,0:02:59,380,78.42,72.18
City and County of San Francisco : How do I Obtain a Permit?,593,394,0:00:25,25,24,7.08
HOW TO CERTIFY YOUR LOCAL BUSINESS WITH US AND/OR BECOME A CITY VENDOR | Human Rights Commission,593,495,0:03:36,276,70.14,63.74
City and County of San Francisco : City Nonprofit Contracting Task Force,592,433,0:01:20,136,61.03,28.55
Office of the Mayor : News Releases : Mayor Lee’s Statement on Passing of Rosario Anaya,592,516,0:02:03,448,83.93,76.69
San Francisco Fire Department : How do I Request a Record?,591,507,0:00:10,24,70.83,7.11
San Francisco Port Department : Pier 27 Cruise Terminal Awards,591,250,0:00:28,57,5.26,16.75
San Francisco Department of Emergency Management : Requesting Public Records,591,515,0:01:24,178,91.01,56.51
Board of Supervisors : News,590,582,0:00:02,5,100,7.12
Employee Relations Ordinance | Civil Service Commission,590,373,0:00:32,37,48.65,10
San Francisco Police Department : Marine Unit,590,501,0:01:45,457,67.18,64.24
Coordinated Assessment | Local Homeless Coordinating Board,589,445,0:00:28,198,15.15,13.24
City and County of San Francisco : Calendar - Upcoming Meetings,589,449,0:01:34,217,78.34,47.03
City and County of San Francisco : Election Dates & Deadlines,589,503,0:01:12,338,63.02,46.86
City and County of San Francisco : Facade Maintenance,589,373,0:01:17,191,45.55,29.54
Mayor's Office of Housing and Community Development : MultiFamily Units:1751 Carroll Avenue,589,487,0:01:45,131,83.97,33.45
San Francisco 311 : Site Map - SF311,589,558,0:00:12,153,68.63,23.43
San Francisco Single Standard : Home,589,250,0:02:05,166,45.78,23.43
Office of the Medical Examiner,588,377,0:01:16,269,34.57,27.72
Why BORP? - For Owners | Department of Building Inspection,587,514,0:01:50,316,71.2,51.62
City and County of San Francisco : Legislation Impacting Small Business,587,317,0:01:35,107,73.83,27.09
San Francisco Police Department : Investigations 2: Special Investigation Division,587,424,0:00:56,270,72.96,43.1
SF City ID Card - How to Get a Card | Office of the County Clerk,587,424,0:02:17,41,45.24,40.2
"Board of Supervisors : Children, Youth and Their Families Oversight and Advisory Committee",587,439,0:02:43,289,69.2,51.11
City and County of San Francisco : Election Connection,586,468,0:02:37,181,69.61,38.57
City and County of San Francisco : Elections,586,454,0:00:17,96,55.21,15.53
City and County of San Francisco : Contract Terms & Conditions,586,439,0:01:18,76,51.32,18.26
San Francisco Law Library : Subject Guide to Law Practice Management Collection,585,367,0:02:22,253,90.91,52.14
African American Community Empowerment Initiative | Human Rights Commission,585,477,0:02:50,296,81.82,58.8
City and County of San Francisco : 2015 Events Brochure and Featured Vendors Directory,585,407,0:01:12,53,67.92,31.97
PART 6 - RENT INCREASE JUSTIFICATIONS | Rent Board,584,514,0:04:38,242,73.03,61.64
San Francisco Port Department : Pier 70 Area - Building 12,584,241,0:00:33,140,20,24.66
City and County of San Francisco : Architectural Access & Plan Check,583,429,0:00:24,77,68.83,14.58
SFGov : Status Dashboard,582,520,0:00:20,166,96.39,36.08
Commission | Office of Community Investment and Infrastructure,582,364,0:00:50,74,20.27,11.51
San Francisco Law Library : Staff,581,479,0:01:28,169,59.17,46.99
City and County of San Francisco : Language Services,581,489,0:02:02,393,56.23,47.16
Office of the Mayor : News Releases : Mayor Lee & Supervisors Introduce $250 Million Affordable Housing General Obligation Bond,581,515,0:04:41,419,79.24,72.46
San Francisco Port Department : 2772 Project Manual,580,216,0:00:42,118,0,32.07
San Francisco Department of Emergency Management : Exercise Toolkit,579,449,0:00:31,116,69.83,22.45
San Francisco Law Library : Conference Rooms,579,523,0:02:27,218,88.07,61.14
屋主與租客資訊 | Rent Board,578,240,0:00:37,55,41.82,9.52
San Francisco Fire Department : Meet Us,578,492,0:01:34,172,68.02,36.16
Mayor's Office of Housing and Community Development : Getting Started with LEP,577,456,0:01:12,137,84.67,30.33
Hotel Tax Guidelines [Implementing Regulation No. 1.504-1] | Treasurer & Tax Collector,577,498,0:02:27,373,86.86,69.84
San Francisco Public Works : Tank Removal,577,286,0:00:24,254,14.57,43.5
Topic No. 157: Evictions of Roommates and Subtenants | Rent Board,576,516,0:01:43,71,71.83,23.44
Office of the Mayor : News Releases : Mayor Lee Announces Major Expansion of Muni Light Rail Fleet,576,537,0:03:15,444,87.16,82.64
Oversight Board Meeting | Office of Community Investment and Infrastructure,576,315,0:01:01,59,49.15,13.37
San Francisco District Attorney : Youth Programs,576,474,0:01:05,134,68.66,30.73
San Francisco Rent Board : Topic No. 255: Charging Additional Rent For New Housing Services,575,539,0:00:44,34,91.18,12.35
San Francisco 311 : Domestic Partnerships,575,390,0:01:08,269,67.29,52.52
City and County of San Francisco : New Limited Live Performance Permit,575,497,0:02:15,411,61.8,57.22
San Francisco Police Department : Traffic Stats,574,427,0:00:28,274,54.38,38.68
San Francisco Rent Board : Audio Archives,574,492,0:02:36,120,63.33,52.96
City and County of San Francisco : Second Floor - 14 of 14,574,491,0:00:19,6,83.33,9.06
San Francisco 311 : Park Patrol,574,500,0:02:30,198,79.29,67.77
City and County of San Francisco : Bilingual Online Training,574,413,0:01:42,344,76.16,63.24
Topic No. 202: General Eviction Notice Requirements | Rent Board,573,490,0:02:05,129,61.24,29.32
San Francisco 311 : SFHA and Rental Assistance Demonstration Program (RAD) Frequently Asked Questions,573,529,0:00:44,110,79.09,31.76
San Francisco Port Department : Waterfront Land Use Plan Review,572,229,0:00:52,116,4.31,27.27
San Francisco Port Department : Port Building Code Review Board,572,233,0:00:33,67,13.43,14.86
Mayor's Office of Housing and Community Development : BMR Repricing Guidelines,571,518,0:02:09,100,82,36.43
Topic No. 203: Notice Requirements for Evictions Based on Owner or Relative Move-in | Rent Board,570,501,0:02:53,138,62.59,34.56
Transbay | Office of Community Investment and Infrastructure,570,315,0:01:44,122,34.96,30.88
San Francisco Police Department : Community Police Academy Schedule,569,490,0:01:38,280,65,48.33
City and County of San Francisco : Elections Results 2010,569,284,0:02:13,33,30.3,21.09
Office of the Mayor : Volunteer at MONS,569,504,0:00:53,116,82.76,39.02
San Francisco Department of Emergency Management : Reports & Data,569,400,0:00:36,48,97.92,19.68
SFERS : Separation Benefits,569,476,0:01:17,171,71.35,29
City and County of San Francisco : Election Day Procedures Review,568,407,0:03:41,349,79.37,61.62
Office of the Mayor : News Releases : Mayor Lee Swears in New Appointments & Reappointments to City Boards & Commissions,568,500,0:01:54,385,80.78,65.85
San Francisco : Open files in a Web page,568,479,0:02:33,440,86.59,77.99
City and County of San Francisco : ¡Le podemos ayudar!,568,289,0:01:54,74,67.57,26.41
City and County of San Francisco : Ballot Simplification Committee,567,389,0:00:34,210,12.38,10.05
San Francisco : Terms of Service,567,509,0:00:59,128,86.72,49.56
"Department of Children, Youth and Their Families : Oversight and Advisory Committee",567,403,0:01:47,158,60.13,38.27
San Francisco Fire Department : 2014,566,517,0:02:15,184,78.8,51.41
The Mission of the Rent Board | Rent Board,565,481,0:00:50,28,57.14,19.65
"City and County of San Francisco : 06-07-10 ""No Smoking"" Signage Requirements for Building Entrances Anticipated to Change",565,369,0:01:25,337,64.99,55.4
City and County of San Francisco : Code of Ethics,565,490,0:00:53,54,75.93,21.24
Programs | Fire Department,565,397,0:00:52,59,45,15.58
Board of Supervisors : Free WiFi for Parks,564,488,0:02:41,433,87.3,77.13
Office of the Mayor : Principal Winners,563,514,0:03:38,430,89.07,80.11
San Francisco Law Library : Forms,563,391,0:01:14,151,80.13,41.39
San Francisco 311 : Homeless - Person Seeking Help - Shelter for Women and Children,562,477,0:02:12,393,84.48,75.44
"City and County of San Francisco : November 3, 2015 Election CH",562,369,0:01:08,152,57.89,30.6
"Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 3930 24th Street, Unit 7",562,505,0:01:54,151,76.16,35.94
San Francisco Department of Emergency Management : Calling 9-1-1,562,485,0:01:40,155,87.74,45.02
City and County of San Francisco : Dog Walker Sec. 3907 Rules for Commercial Dog Walker.,561,475,0:02:48,312,85.9,66.84
San Francisco Fire Department : Photo Gallery - General Pics - Page 3,560,557,0:01:24,548,97.81,96.61
Office of Economic and Workforce Development : Employer Services,560,495,0:01:48,130,90.77,54.11
San Francisco : Reproduction & Mail Services,558,423,0:03:48,260,84.23,70.79
City and County of San Francisco : Outreach Presentations,558,426,0:01:52,139,84.17,37.46
Search | Fine Arts Museums of San Francisco,557,534,0:00:11,3,33.33,5.75
Public Notices | Board of Appeals,557,439,0:00:33,15,73.33,12.03
Ville et le comté de San Francisco,557,431,0:02:41,426,73.47,74.15
City and County of San Francisco : Coexisting With Coyotes,557,495,0:04:37,456,86.18,82.94
Office of Economic and Workforce Development : Calendar,557,483,0:01:57,118,77.97,46.32
"June 7, 2016 Election Information for Campaigns and Candidates | Department of Elections",556,406,0:01:35,130,68.7,33.09
Board of Supervisors : Board 3,555,279,0:00:54,111,91.89,23.96
San Francisco 311 : Illegal Posting,554,483,0:02:14,249,77.51,50.36
Mayor's Office of Housing and Community Development : Programs,553,464,0:01:26,281,76.51,52.08
City and County of San Francisco : ADA Grievance Procedure,553,402,0:02:05,123,69.92,35.99
Board of Supervisors : Become a Volunteer,553,439,0:01:59,311,67.52,51.36
AGENCY OVERVIEW | Human Rights Commission,551,466,0:01:42,158,56.96,42.29
San Francisco Port Department : Registration Page for Pier 33 Retail Opportunity,551,231,0:00:23,44,18.18,12.34
San Francisco Police Department : SFPD Wilderness Adventure Youth Program,551,513,0:02:07,273,86.45,56.26
San Francisco Fire Department : 2010 Fire Code,551,414,0:00:42,250,14.4,17.42
San Francisco Fire Department : Verification of Employment,550,506,0:01:26,251,89.24,54.18
San Francisco Public Works : Community Corridors Partnership,548,293,0:00:50,241,30.71,39.96
San Francisco Port Department : Safe Boating · McCovey Cove,547,275,0:00:46,222,39.19,39.85
CCSF Office of Assessor-Recorder : Parcel Information,547,389,0:02:35,242,71.07,59.96
San Francisco District Attorney : Restitution,546,458,0:01:33,123,67.48,33.33
San Francisco Fire Department : 3.03 Fire Alarm Certification,546,506,0:03:56,415,83.61,78.02
Board of Supervisors : Holiday Gift Guide,545,440,0:01:22,274,48.91,52.66
"San Francisco Police Department : October 8, 2014",545,526,0:02:35,478,94.35,88.81
Office of Economic and Workforce Development : Districts,545,330,0:00:44,182,91.76,38.17
Commission Meeting Information | Department on the Status of Women,544,385,0:00:25,21,19.05,6.43
City and County of San Francisco : GSA Summer Internship Program,544,338,0:00:23,77,40.26,11.21
San Francisco Rent Board : Topic No. 329: Petition for a Determination Pursuant to,544,486,0:03:28,137,64.96,40.81
Board of Supervisors : Orders of Determination 2015,544,340,0:01:11,173,73.41,30.33
City and County of San Francisco : Civic Engagement,544,346,0:00:50,98,86.87,24.26
San Francisco Fire Department : Subpoena Services,543,487,0:01:53,309,89,68.69
Board of Supervisors : Pedestrian Safety Advisory Committee,543,380,0:02:17,274,71.9,50.28
San Francisco 311 : Neighborhood Services,542,478,0:02:30,70,91.43,58.12
SFGov : Street & Sidewalk Cleaning Response,542,134,0:01:23,71,60.56,14.02
San Francisco Public Works : Broadway Streetscape Improvement Project Phase II,542,257,0:00:31,123,10.57,22.32
Facility Usage: Community Rooms: Rules and Regulations | Southeast Community Facility Commission,542,433,0:02:33,238,75.21,50.74
San Francisco Fire Department : Assistant Deputy Chief,542,540,0:00:45,521,98.08,95.2
Office of the Mayor : News Releases : Mayor Lee Announces First Major Transfer of Treasure Island/Yerba Buena Island From U.S. Navy to City,541,484,0:03:06,414,85.99,77.45
Cigarette Litter Abatement Fee | Treasurer & Tax Collector,541,432,0:02:25,277,70.14,55.45
City and County of San Francisco : Wish List,541,429,0:02:05,127,67.72,44.36
Office of the Mayor : Mayor Lee Appoints Charlotte Mailliard Shultz as Chief of Protocol,541,459,0:02:04,392,71.43,63.77
San Francisco Police Department : Crime Bulletins: Homicide Victims-2011,541,201,0:00:37,85,42.35,14.79
"San Francisco Port Department : November 10, 2015",541,210,0:00:46,33,12.12,27.54
Fire Department Visits | Fire Department,540,451,0:00:47,53,62.26,17.22
Board of Supervisors : Mayor's Proposed Budget,540,388,0:01:49,32,71.88,45.37
San Francisco District Attorney : Marsy's Law,539,489,0:01:19,69,81.16,23.38
Controller : Primary Market Disclosure/Final Official Statements & Upcoming Sales,539,342,0:02:17,176,84.09,47.12
Mayor's Office of Housing and Community Development : Multifamily Housing Development,538,450,0:00:44,193,78.24,37.92
Full Board and Committee Meetings | Local Homeless Coordinating Board,538,340,0:00:47,81,35.8,16.36
Transient Occupancy Tax (TOT) Filing Instructions for Hosts | Treasurer & Tax Collector,538,316,0:02:01,43,32.56,20.82
The Comprehensive Collections Unit (CCU) | Adult Probation Department,537,433,0:01:50,177,70.06,46.18
San Francisco Fire Department : Reporting a Leaking Fire Hydrant,537,502,0:02:05,488,91.8,89.76
Office of the Mayor : News Releases : Mayor Lee Signs City’s Balanced Budget for Fiscal Year 2015-16 & 2016-17,536,479,0:02:11,378,74.87,69.59
San Francisco Department of Emergency Management : Exercise Scenarios,536,519,0:00:15,212,92.45,42.72
San Francisco District Attorney : Community Engagement,536,404,0:00:21,59,64.41,12.87
City and County of San Francisco : Community Ambassadors Program,536,369,0:01:45,325,71.69,53.92
Rehabilitation Funds: Mayor Announces $80M Grant for Rehabilitation Facility | Welcome,536,490,0:01:43,83,78.31,34.7
City and County of San Francisco : ADA Coordinator Toolkit,535,318,0:01:04,93,75.27,27.48
San Francisco Port Department : Truckers,535,230,0:00:34,52,3.85,19.25
San Francisco Port Department : Planning and Land Use Regulatory Review,535,208,0:00:26,24,0,9.16
Deputy Chief of Administration | Fire Department,534,384,0:00:27,44,71.11,15.54
City and County of San Francisco : FOR MENTORS,533,437,0:00:22,42,83.33,14.63
San Francisco Department of Human Resources : FAQ: Temporary Disability Benefits,533,438,0:02:39,205,76.1,47.65
San Francisco Fire Department : 5.09 Lockbox Program – Guideline for New Exterior and Replacement Lockboxes,533,525,0:04:01,507,98.42,96.81
San Francisco Ethics Commission: Regulations Related to Conflicts of Interest,533,459,0:05:08,122,77.05,57.22
San Francisco 311 : SFUSD - Proposition B - 400140,532,371,0:03:29,353,66.29,65.23
San Francisco Fire Department : Fire Station Visit Request Form,532,516,0:03:11,448,99.78,85.71
San Francisco : Site Map,531,468,0:01:53,230,73.04,59.32
City and County of San Francisco : Overseas Voters - Military or Civilian,531,434,0:03:34,349,85.39,70.81
City and County of San Francisco : Photo Gallery - Board of Supervisors Chambers,531,473,0:00:34,84,77.38,35.97
HTTP 503 Service unavailable,531,531,0:00:00,531,100,100
Mayor's Office of Housing : Forms and Documents,531,434,0:02:13,168,84.52,47.83
Permit Applications | Entertainment Commission,530,240,0:02:11,37,36.36,26.6
San Francisco Port Department : Port Events : Jewel of the Seas (cruise ship),529,286,0:00:36,58,41.38,27.22
Adoption Requirements | Animal Care & Control,529,420,0:00:41,19,36.84,24.76
CCSF Office of Assessor-Recorder : FAQ,529,447,0:02:50,373,77.75,72.78
Mayor's Office of Housing : Housing Programs,529,138,0:01:12,50,52,10.21
San Francisco 311 : Police - Stolen Car (Automobile) - 106766,528,463,0:03:31,454,84.36,82.39
Mayor's Office of Housing and Community Development : Information for Inclusionary Housing Program BMR Lenders,528,409,0:01:27,238,41.6,32.95
Committee on Information Technology : Architecture and Policy Sub-Committee,528,185,0:01:17,116,47.41,17.05
Controller : Economic Analysis,527,457,0:01:46,159,83.65,51.42
San Francisco Rent Board : Sole Source Contracts,527,479,0:00:14,26,61.54,5.69
San Francisco Police Department : Medal of Valor: Definition,527,490,0:00:49,182,84.62,36.81
Mayor's Office of Housing and Community Development : Frequently Asked Questions (FAQs),527,488,0:03:22,217,79.72,54.08
Search | Mission Bay Pavilion Project,526,491,0:00:14,4,50,14.83
San Francisco 311 : Residential Construction,526,459,0:02:20,130,81.54,51.14
SFGov : SF DT Feedback,526,35,0:01:02,31,29.03,6.27
Electrical Inspection Division Map | Department of Building Inspection,526,438,0:03:38,127,70.87,59.13
Film Commission : CA Tax Credit Program,525,398,0:01:31,214,74.77,49.14
Topic No. 152: Charging For Additional Occupants Prohibited | Rent Board,525,465,0:01:17,89,75.56,23.05
San Francisco Public Works : DPW Community Events Calendar,524,234,0:00:20,104,84.62,22.52
San Francisco District Attorney : Victim's Rights,524,457,0:01:27,61,78.69,24.81
San Francisco Public Works : Publishers and Distributors Resources,524,220,0:01:13,127,13.39,34.16
About Food Systems | San Francisco Food,523,353,0:01:05,36,58.33,19.69
Office of the Mayor : News Releases : Mayor Lee Introduces Legislation to Create Affordable Housing Bonus Program,523,487,0:03:25,402,86.57,79.92
NEW! OCC introduces online complaint filing | Office of Citizen Complaints,522,353,0:01:35,23,56.52,36.21
San Francisco Rent Board : Chapter 49,522,473,0:02:55,264,72.73,56.32
San Francisco Port Department : Port News : Pier 80 Receives Cargo for PG&E Substation Project,522,268,0:00:51,205,23.9,41.95
San Francisco Department of Emergency Management : DEM Reports,521,459,0:01:26,109,74.31,33.59
Housing District Map | Department of Building Inspection,521,426,0:02:27,203,68.47,50.86
Press Releases & Media | Adult Probation Department,520,362,0:00:43,13,46.15,14.42
Juvenile Probation Commission | Juvenile Probation Department,520,385,0:00:55,40,47.5,17.69
San Francisco Police Department : Department News and Updates : SFPD National Night Out,520,398,0:01:54,351,66.67,60.38
City and County of San Francisco : ADA Transition Plan,518,295,0:00:43,109,48.62,16.8
Rule 420 Leaves of Absence | Civil Service Commission,518,463,0:04:49,233,80.26,71.04
Mayor's Office of Housing and Community Development : SOMA Community Stabilization Fund,518,431,0:01:55,367,67.85,57.92
EPC Update | Department of Child Support Services,518,409,0:00:50,38,55.26,19.11
Board of Supervisors : FAQs,517,422,0:01:30,38,57.89,23.21
City and County of San Francisco : ADA Coordinators,517,354,0:01:28,84,61.9,27.85
San Francisco Port Department : Waterfront Plan Archives,516,174,0:00:38,115,0.87,25
For Your Information - Page Not Found | Department of Elections,516,392,0:01:04,19,36.84,5.81
City and County of San Francisco : Domestic Partnership Ceremony,515,447,0:01:32,83,67.47,25.44
Building Inspection Division Map | Department of Building Inspection,514,431,0:03:04,164,71.95,56.42
Mayor's Office of Housing and Community Development : Forms and Documents,514,412,0:01:51,211,87.2,57.2
Mayor's Office of Housing and Community Development : Related Links,514,400,0:01:20,281,80.43,56.81
San Francisco Rent Board : 主題編號053：累積加租幅度,514,433,0:02:11,76,72.37,22.18
San Francisco Public Works : Climate Action Plan,513,257,0:00:55,220,20,41.91
Resources | San Francisco Food,513,364,0:01:12,38,58.97,32.36
San Francisco Police Department : Traffic Company,513,449,0:01:30,364,62.91,56.73
San Francisco Port Department : Pier 70 Area - Building 2,513,212,0:00:26,100,12,19.49
Office of Community Investment and Infrastructure : Hunters Point Shipyard and Candlestick Point,512,423,0:01:43,393,70.23,68.16
Past Election Results | Department of Elections,512,206,0:00:54,9,11.11,17.58
San Francisco Law Library : Self-Help,512,424,0:00:29,73,86.3,21.09
Controller : Mission Vision Values,512,476,0:01:31,328,89.33,67.97
Office of the Mayor : Current (FY 2013-14 and FY 2014-15) Budget Documents,511,345,0:02:03,185,78.38,50.49
SFERS : Beneficiary Change,511,444,0:00:34,130,100,31.12
Office of the Mayor : Special Notice for Mayor’s Office of the Chief Data Officer Applicants,511,424,0:02:42,270,72.59,58.9
Controller : Contact Issuers,511,439,0:02:02,372,79.03,68.69
"Departments, Divisions, Offices | Office of the City Administrator",511,321,0:00:38,10,54.55,24.07
Deputy Marriage Commissioner for a Day | Office of the County Clerk,511,450,0:02:52,50,68,35.62
Office of Economic and Workforce Development : Balboa Reservoir Community Advisory Committee (CAC),511,23,0:00:48,11,81.82,4.11
San Francisco Public Works : Cayuga Playground and Clubhouse,510,272,0:00:37,234,34.62,45.69
San Francisco Ethics Commission: Gift Disclosure - Filings,509,394,0:01:48,73,31.51,16.5
San Francisco Public Works : Protection of Trees and Landscape Material,509,224,0:00:34,59,1.69,19.06
San Francisco Fire Department : Lost & Found,509,482,0:00:18,93,69.89,17.09
City and County of San Francisco : Grants,509,335,0:00:37,74,78.67,25.34
Court Process | Juvenile Probation Department,509,419,0:00:58,170,86.47,39.88
Office of Economic and Workforce Development : Historic Preservation Fund Committee Grants,509,387,0:01:42,309,76.05,64.24
San Francisco Port Department : South Beach Harbor & Pier 40,508,235,0:00:19,195,21.03,36.81
San Francisco Department of Emergency Management : Special Events,507,450,0:00:37,104,86.54,31.16
The Referral Process | Juvenile Probation Department,507,403,0:00:45,68,80.88,23.87
San Francisco Public Works : West Portal Avenue Project,507,284,0:00:42,213,34.74,44.58
San Francisco Ethics Commission: Payments Made at the Behest of an Elected Officer,506,347,0:03:18,141,78.72,32.81
Board of Supervisors : District Events,505,415,0:01:14,48,89.58,28.32
Controller : Guide to Budget Process,505,455,0:02:04,187,84.49,51.68
Office of the Mayor : Proclamations,505,365,0:02:26,285,63.51,55.05
San Francisco Police Department : Department News and Updates : Officers Fatally Shoot Stabbing Suspect in the Bayview,505,478,0:02:46,393,88.8,79.41
San Francisco Public Works : Fee Schedule,505,236,0:00:44,156,31.41,35.84
City and County of San Francisco : Mayor Convenes Invest in Neighborhoods Strategy Working Group,504,480,0:00:23,26,69.23,14.68
City and County of San Francisco : Voting Systems Task Force,504,444,0:00:52,77,42.86,29.96
Division of Training | Fire Department,504,366,0:00:21,85,37.65,14.68
San Francisco Fire Department : Requesting Your Own Records,504,389,0:00:52,127,95.28,46.23
San Francisco Police Department : Directions to the SF Police Academy,504,476,0:02:13,344,81.1,73.61
San Francisco Fire Department : Gifts Awarded to the San Francisco Fire Department,503,447,0:00:42,79,77.22,28.83
San Francisco Fire Department : Public Records Requests,502,432,0:02:53,279,83.15,64.94
Hours of Operation | Department of Building Inspection,502,430,0:01:39,41,58.14,48.41
"San Francisco Ethics Commission: Ethics Commission Regulations Implementing Lobbyist Ordinance (as of September 26, 2014)",502,431,0:02:56,81,48.15,37.85
San Francisco Port Department : Port Commission Staff Reports on Pier 70,502,183,0:00:45,135,2.96,25.3
San Francisco Rent Board : New Amendment Prohibiting Owner Move-In Evictions of Minor Children During The School Year,501,459,0:05:54,394,83.25,77.64
Dog License Information | Animal Care & Control,501,407,0:03:33,45,50.94,51.7
Mayor's Office of Housing and Community Development : Notices,501,446,0:00:37,121,79.34,26.75
Meetings | Reentry Council,501,138,0:00:28,7,14.29,1.8
San Francisco Public Works : Moscone Center Capital Improvement Program,501,244,0:00:16,178,18.54,35.13
San Francisco Rent Board : Topic No. 405: The Appeal Process,501,449,0:02:41,178,64.04,41.52
Media Relations Contact | Human Rights Commission,500,397,0:01:12,89,65.17,34.4
City and County of San Francisco : General Contract Terms & Conditions,500,346,0:01:12,44,59.09,14.8
Search | Smart Money Network,500,483,0:00:17,2,0,14.4
City and County of San Francisco : Full Commission,499,254,0:00:21,18,61.11,5.41
The San Francisco Bicycle Plan | Bicycle Advisory Committee,499,392,0:01:50,24,64,55.71
City and County of San Francisco : Accessible Touchscreen Voting Machines,499,421,0:01:34,318,86.48,66.33
San Francisco Law Library : How to Use the Catalog,499,406,0:01:10,252,49.6,42.89
User account | Treasure Island Development Authority,499,274,0:02:30,108,13.89,9.02
Juvenile Advisory Council | Juvenile Probation Department,498,305,0:01:02,37,42.11,17.47
Candlestick Point - HPS Phase 2 Project | Office of Community Investment and Infrastructure,498,300,0:00:23,95,21.05,13.45
Devarakonda Police Department : Home,498,358,0:01:22,357,95.8,71.69
Office of the Mayor : News Releases : Mayor Lee Announces Major Expansion to Make Preschool Available to More San Francisco Families,498,465,0:02:31,390,86.15,80.92
"San Francisco Port Department : Waterfront Land Use Plan Review, 1997-2014",498,190,0:00:59,138,2.17,28.11
Office of Economic and Workforce Development : Plaza Program,497,389,0:01:59,246,81.71,58.75
