"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"2570","Board of Supervisors : FY 2015-2016 & FY 2016-2017",131,44.27,24.94,"1M 12S",806,445
"2571","San Francisco 311 : Sheriff - Serve Process - 106840",572,68.53,67.25,"2M 11S",806,573
"2572","City and County of San Francisco : Second Floor - 13 of 14",4,75,5.09,"9S",805,644
"2573","Customer Connect | Department of Child Support Services",158,70.89,48.7,"1M 12S",805,659
"2574","State Legislation Committee",390,21.28,20.37,"39S",805,543
"2575","City and County of San Francisco : Second Floor - 2 of 14",1,0,1.49,"6S",804,638
"2576","Mayor's Office of Housing : Lead Remediated Re-rental Units",169,85.8,29.35,"1M 47S",804,715
"2577","San Francisco Police Department : Public Commendation / Complaint",296,79.39,51.12,"1M 41S",804,764
"2578","Committee on Information Technology : Search",36,94.44,29.76,"46S",803,771
"2579","Mayor's Office of Housing and Community Development : BMR Resale: 88 Hoff Street, Unit 101",159,85.53,28.05,"59S",802,703
"2580","Mayor's Office of Housing and Community Development : Reports and Presentations",192,92.19,43.02,"1M 44S",802,690
"2581","Contact Us | Civil Service Commission",58,64.41,42.95,"2M 24S",801,656
"2582","San Francisco Public Works : Kearny Streetscape Improvement Project",283,26.15,36.5,"39S",800,399
"2583","San Francisco Rent Board : Topic No. 351: Tenant Petitions - Overview",117,67.52,23.88,"1M 12S",800,726
"2584","Department of Children, Youth and Their Families : Grants",175,60,24.78,"49S",799,616
"2585","San Francisco Department of Emergency Management : Mass Gatherings & Special Events",402,89.55,68.46,"1M 57S",799,730
"2586","City and County of San Francisco : Justice Tracking Information System (JUS.T.I.S.)",269,45.72,24.81,"53S",798,652
"2587","Office of Economic and Workforce Development : News",110,83.64,26.44,"41S",798,496
"2588","Events | Department on the Status of Women",28,64.29,15.56,"39S",797,598
"2589","Board of Supervisors : Internship",255,60,37.44,"1M 46S",796,507
"2590","Topic No. 153: Rent Increases Under Section 6.14 And Costa-Hawkins | Rent Board",236,65.81,37.31,"2M 38S",796,689
"2591","About Us | Animal Care & Control",23,34.78,11.08,"37S",794,571
"2592","San Francisco Rent Board : Increased Ellis Relocation Payments Ordinance – Update #1 (6/19/15)",133,63.16,33.12,"1M 47S",794,674
"2593","City and County of San Francisco : Search for City Contracts",170,50.59,28.25,"1M 34S",793,693
"2594","State Legislation Committee | State Legislation Committee",22,27.27,20.58,"27S",792,584
"2595","Economic Development Conveyance Memorandum of Agreement between TIDA and the US Navy - July, 2014 | Treasure Island Development Authority",81,43.21,19.87,"1M 50S",790,306
"2596","San Francisco Public Works : Caring For Your New Street Tree",100,15,22.18,"47S",789,391
"2597","San Francisco Rent Board : Topic No. 304: How to Allocate Capital Improvement Costs",83,63.86,17.49,"1M 14S",789,698
"2598","San Francisco Rent Board : Topic No. 331: Water Revenue Bond Passthroughs",162,66.05,36.12,"2M 50S",789,705
"2599","Department of Children, Youth and Their Families : Scholarships, Contests, Grants and Other Awards",445,86.29,62.13,"2M 39S",787,575
"2600","Topic No. 052: Imposing the Annual Allowable Increase | Rent Board",188,55.03,30.75,"2M 3S",787,683
"2601","City and County of San Francisco : Second Floor - 3 of 14",1,0,1.65,"7S",786,638
"2602","San Francisco Fire Department : Aircraft Rescue FireFighting (ARFF) Vehicles at SFO",704,90.34,86.51,"2M 12S",786,752
"2603","San Francisco Port Department : Pier 70 Area - 20th Street Historic Buildings Developer Solicitation",203,23.65,27.48,"41S",786,321
"2604","Audio Archives | Civil Service Commission",112,69.64,43.69,"2M 38S",785,462
"2605","Controller : SFPrepared",677,92.91,88.28,"4M 38S",785,715
"2606","San Francisco Department of Human Resources : Get Ready & Download Materials",84,79.76,28.54,"1M 22S",785,600
"2607","Mayor's Office of Housing : Certificate of Preference",292,65.75,38.78,"2M 3S",784,703
"2608","Style selector | Department of Building Inspection",1,0,1.4,"1M 3S",783,743
"2609","Fact Sheet 5 - Landlord Petitions and Passthroughs | Rent Board",412,69.9,55.12,"3M 30S",782,700
"2610","Elections Commission",208,24.29,17.29,"1M 48S",781,347
"2611","Electrical Code Interpretations and Guidelines | Department of Building Inspection",17,23.53,11.4,"42S",781,600
"2612","Annual Reports and Strategic Plans | Department on the Status of Women",37,35.9,25.9,"1M 56S",780,499
"2613","Controller : Resources for Nonprofits",483,84.68,70,"2M 49S",780,628
"2614","Mayor's Office of Housing and Community Development : Refinance/Subordination of City Loans",193,73.06,25.77,"31S",780,725
"2615","San Francisco : San Francisco County Veterans Service Office",605,81.98,78.82,"3M 4S",779,631
"2616","SFGov : Free WiFi",191,86.91,39.15,"48S",779,606
"2617","City and County of San Francisco : Guidelines for Dog Walkers",572,70.28,66.07,"2M 12S",778,676
"2618","Office of Economic and Workforce Development : Workorce Investment San Francisco",141,92.2,45.12,"1M 32S",778,614
"2619","San Francisco Rent Board : Spanish Home Page",73,63.01,14.91,"33S",778,587
"2620","City and County of San Francisco : Food Service Waste Reduction Ordinance",192,69.27,31.15,"1M 2S",777,650
"2621","City and County of San Francisco : Step 2. Develop the Business Plan",54,40.74,12.48,"42S",777,536
"2622","Condo Conversion - Tax Certificate Info | Treasurer & Tax Collector",305,75.74,52.38,"2M 45S",777,680
"2623","San Francisco Port Department : Stormwater Management Program",140,6.43,18.3,"32S",776,275
"2624","San Francisco Rent Board : Topic No. 212: Unlawful Detainer Actions in Court",231,75.76,34.58,"1M 56S",775,691
"2625","Abatement Appeals Board | Department of Building Inspection",167,37.72,15.37,"40S",774,487
"2626","San Francisco Police Department : Department News and Updates : SFPD 241st Class Graduates",483,63.98,55.17,"2M 1S",774,642
"2627","San Francisco Port Department : Filming Locations",84,10.71,17.44,"15S",774,315
"2628","SFERS : Reciprocity",346,93.93,49.42,"51S",773,721
"2629","SFGov : Livability",115,68.7,14.49,"1M 30S",773,194
"2630","San Francisco Police Department : HSU: The Units",548,60.04,56.48,"1M 44S",772,658
"2631","San Francisco Police Department : Email Notices",159,86.79,32.17,"55S",771,671
"2632","San Francisco Fire Department : How to Thank the SFFD",172,96.51,28.05,"32S",770,751
"2633","San Francisco Port Department : July 14, 2015",91,17.58,24.42,"47S",770,323
"2634","City and County of San Francisco : FOR TEAM LEADERS",74,70.27,16.38,"28S",769,608
"2635","City and County of San Francisco : Technology Marketplace - old",549,68.31,62.94,"2M 26S",769,599
"2636","San Francisco Police Department : Volunteers in Policing",274,41.61,25.75,"42S",769,482
"2637","San Francisco Port Department : 150th Anniversary",141,20.57,26.14,"31S",769,361
"2638","San Francisco Public Works : Valencia Streetscape Project",258,17.05,32.38,"28S",769,400
"2639","Office of the Mayor : Mayor Lee's 2014 State of the City Address",621,82.77,75.65,"2M 44S",768,724
"2640","San Francisco Police Department : SFPD Motorcycle Training & Exhibition",529,87.15,69.62,"2M 41S",767,569
"2641","San Francisco Port Department : March 10, 2015",33,27.27,20.63,"50S",766,307
"2642","Board of Supervisors : Standing Community Meetings",238,76.05,41.96,"2M 32S",765,603
"2643","San Francisco Police Department : Vision Statement",423,83.92,60.52,"2M 14S",765,685
"2644","Board of Supervisors : Internship Opportunities",242,78.1,47.12,"2M 37S",764,553
"2645","City and County of San Francisco : News & Events",38,78.95,21.07,"32S",764,608
"2646","Controller : Strategic Plans",158,79.75,24.35,"38S",764,704
"2647","San Francisco Port Department : Environmental Reports",68,1.47,12.83,"30S",764,270
"2648","City and County of San Francisco : Post-Election Survey",591,87.14,77.2,"1M 47S",763,653
"2649","San Francisco Port Department : Pier 43 Promenade",245,30.2,31.23,"29S",762,373
"2650","Topic No. 019: Partial Exemption for Certain Single-Family Homes and Condominiums Under Costa-Hawkins | Rent Board",316,72.78,52.62,"4M 19S",762,654
"2651","Application Submitted",77,77.92,10.25,"1M 14S",761,311
"2652","City and County of San Francisco : M. Filing a Complaint",123,55.28,29.04,"2M 1S",761,616
"2653","BORP Guidelines for Engineers | Department of Building Inspection",467,75.8,61.05,"2M 15S",760,617
"2654","San Francisco Port Department : RFP Youth Employment 2014",339,0.29,44.47,"8S",760,369
"2655","San Francisco Rent Board : Temporary Severance of Specified Housing Services During Mandatory Seismic Retrofit",355,62.25,49.61,"3M 43S",760,599
"2656","SECFC Health Fair | Southeast Community Facility Commission",442,73.3,60.21,"1M 50S",759,581
"2657","Annual Rent Increase for 3/1/15 – 2/29/16 Announced | Rent Board",178,58.43,40.5,"1M 32S",758,660
"2658","City and County of San Francisco : Second Floor - 4 of 14",0,0,1.06,"5S",757,623
"2659","Office of Economic and Workforce Development : Resources for Nonprofits",391,82.35,59.58,"2M 16S",757,552
"2660","City and County of San Francisco : CONTACT INFORMATION",100,90,36.51,"56S",756,622
"2661","City and County of San Francisco : News and Public Events",138,68.12,15.89,"21S",755,466
"2662","Office of the Mayor : About Our Office",355,57.75,41.06,"52S",755,604
"2663","San Francisco Port Department : As-Needed Real Estate Economics and Planning Services RFQ",374,0.53,48.61,"2S",755,377
"2664","San Francisco Rent Board : Topic No. 207: Evictions Based on Substantial Rehabilitation",136,75.74,26.09,"2M 2S",755,697
"2665","San Francisco Fire Department : 5.10 Safety Requirements for Regulated Activities at Outdoor Food and Street Fairs",559,83.01,72.94,"2M 26S",754,695
"2666","San Francisco Port Department : PR and Media Services RFQ",366,0,48.67,"2S",754,377
"2667","San Francisco Rent Board : Topic No. 362: Reports of Alleged Wrongful Eviction",175,66.86,31.96,"1M 49S",754,666
"2668","San Francisco Public Works : Grants",106,14.15,20.72,"30S",753,370
"2669","Board of Supervisors : 2.2 Methodologies for Determining Staffing Requirements",709,94.36,93.62,"4M 57S",752,711
"2670","Mayor's Office of Housing and Community Development : Pricing and Marketing Inclusionary On-site or Off-site BMR Units",134,79.1,33.11,"1M 58S",752,499
"2671","Office of Economic and Workforce Development : Business Assistance",108,88.89,21.28,"30S",752,575
"2672","Contact Us | Animal Care & Control",42,53.33,51.93,"2M 8S",751,627
"2673","San Francisco Port Department : Civil and Coastal Engineering Design Services for Mission Bay Shoreline Protection for the Bayfront Park Project",7,14.29,0.93,"10S",750,370
"2674","San Francisco Port Department : Contract 2740 Crane Cove Park Master Plan & Comprehensive Design Services",12,16.67,2.13,"4S",750,376
"2675","Board of Supervisors : 2014 Public Notices",56,26.79,11.62,"1M 3S",749,318
"2676","San Francisco Municipal Transportation Agency | Welcome",305,27.74,58.74,"3M 7S",749,651
"2677","Resources for Special Events and Film Productions | Treasure Island Development Authority",219,56.16,35.88,"1M 9S",747,618
"2678","SF City ID Card | Office of the County Clerk",74,22.22,13.25,"48S",747,550
"2679","City and County of San Francisco : Frequently Asked Questions For Poll Workers",599,88.98,79.89,"2M 32S",746,669
"2680","San Francisco Department of Human Resources : Electronic Forms",395,57.72,49.33,"3M 2S",746,612
"2681","Board of Supervisors : Ordinances 2012",107,80.37,28.46,"1M 21S",745,570
"2682","City and County of San Francisco : SF Disaster and Emergency Response and Recovery Fund",155,50.97,20.27,"2M 12S",745,226
"2683","For Design Professionals & Contractors | Department of Building Inspection",44,58.7,27.25,"1M 57S",745,574
"2684","Office of the Mayor : News Releases : Mayor Lee & Supervisor Cohen Announce $125 Million Investment in Home Ownership Opportunities for up to 1,500 Middle Class Families",542,81.92,73.56,"5M 19S",745,665
"2685","San Francisco Police Department : Crime Prevention Tips",352,79.83,56.91,"2M 16S",745,648
"2686","San Francisco Public Works : Tenderloin Pit Stop",410,60.49,52.08,"1M 2S",745,469
"2687","San Francisco Rent Board : 主題編號051：今年的全年可加租金額",141,79.43,32.89,"1M 39S",745,593
"2688","San Francisco Police Department : Project SAFE",301,79.4,50.81,"2M 4S",744,698
"2689","San Francisco Public Works : Fixed Pedestal News Rack Zones",245,4.08,30.91,"1M 16S",744,305
"2690","San Francisco Law Library : Seminars & Programs",469,94.46,70.66,"2M 31S",743,659
"2691","San Francisco Public Works : Additional Street Space Permit",355,16.62,47.04,"24S",742,393
"2692","Mayor's Office of Housing and Community Development : RMCC Program",169,91.72,27.76,"25S",742,715
"2693","San Francisco Fire Department : 2.10 Checklist: Approval of Locks on Elevator Lobby Doors",664,89.46,86.39,"2M 9S",742,703
"2694","San Francisco Rent Board : SRO Final Hotel Visitor Policy",569,74.69,69.1,"4M 18S",741,650
"2695","Veterans' Affairs Commission | Veterans Affairs Commission",13,30.77,43.99,"37S",741,527
"2696","Board of Supervisors : Article III: Public Information and Public Records",149,88.59,59.81,"3M 16S",739,645
"2697","City and County of San Francisco : Observing the Process",134,78.36,30.58,"1M 35S",739,554
"2698","Search | Local Homeless Coordinating Board",10,40,5.14,"20S",739,666
"2699","San Francisco 311 : Housing - All Matters - 106812",86,48.84,20.22,"55S",737,599
"2700","Controller : Frequently Asked Questions",363,87.33,70.24,"3M 3S",736,639
"2701","Telephone Users Tax (TUT) Info | Treasurer & Tax Collector",70,34.29,17.53,"1M 10S",736,416
"2702","About Us | Local Homeless Coordinating Board",44,56.82,19.35,"56S",734,514
"2703","Office of Economic and Workforce Development : Provider Resources",502,99.2,77.66,"1M 51S",734,704
"2704","San Francisco Fire Department : Fire Safety Concern Reporting Form",729,99.59,99.32,"2M 16S",734,732
"2705","San Francisco Port Department : Contract 2761, Blue Greenway Signage",5,0,0.95,"3S",734,364
"2706","Business Classifications | Treasurer & Tax Collector",305,80.98,51.57,"2M 35S",733,633
"2707","San Francisco Department of Human Resources : SEIU Job Exp. Crediting Reports",247,68.02,42.43,"3M 20S",733,569
"2708","San Francisco Department of Emergency Management : Learn",239,64.85,38.93,"46S",732,587
"2709","City and County of San Francisco : 2015 Community Benefit Agreements",179,67.04,30.51,"1M 2S",731,644
"2710","Services | Animal Care & Control",15,20,6.7,"13S",731,529
"2711","Mayor's Office of Housing : 1844 Market (""Venn"")",65,67.69,18.49,"1M 4S",730,648
"2712","Mayor's Office of Housing and Community Development : Resources",168,91.67,26.75,"23S",729,611
"2713","San Francisco 311 : County Clerk 105237 - Fictitious Business Name - Purchasing",509,66.8,68.18,"4M 14S",729,540
"2714","San Francisco Department of Emergency Management : Training Program Description",394,91.12,65.84,"3M 12S",729,662
"2715","CEDAW Ordinance | Department on the Status of Women",392,70.15,59.62,"3M 43S",728,613
"2716","San Francisco Department of Human Resources : Employment Rights for People with Disabilities",291,75.95,47.25,"2M 28S",728,592
"2717","San Francisco Port Department : Propworks RFP",3,0,48.76,"1S",728,362
"2718","Office of Economic and Workforce Development : Local Hire",245,96.33,57.22,"1M 13S",727,623
"2719","Bicycle Advisory Committee Meetings | Bicycle Advisory Committee",37,48.65,14.6,"40S",726,504
"2720","Office of the Mayor : Mayor's Principal of the Year Award",473,72.73,62.81,"1M 37S",726,613
"2721","Office of the Mayor : News Releases : Mayor Lee Announces More Space, More Frequency & More Connections on Brand New Buses for Muni Riders",563,85.79,78.65,"2M 30S",726,641
"2722","San Francisco : Office of the Public Defender",514,82.88,74.38,"2M 48S",726,597
"2723","Mayor's Office of Housing and Community Development : Environmental Reviews",460,86.74,67.68,"2M 15S",724,649
"2724","San Francisco Police Department : Get Involved",305,44.26,29.42,"51S",724,431
"2725","San Francisco Port Department : September 8, 2015",67,13.43,26.66,"54S",724,302
"2726","2.11 Submittal Guidelines for Emergency Evacuation Signs | Fire Department",511,85.32,74.24,"4M 36S",722,572
"2727","City and County of San Francisco : Step 3. Location, Location, Location!",69,71.01,22.85,"1M 45S",722,525
"2728","Other Services | Office of the County Clerk",11,63.64,16.9,"25S",722,570
"2729","Request Street Space Permit",18,0,2.35,"1M 7S",722,35
"2730","Vision Training : Home",219,56.62,31.99,"2M 43S",722,444
"2731","Office of Economic and Workforce Development : Resources for Businesses",159,87.42,42.44,"1M 41S",721,617
"2732","San Francisco Port Department : Merchandise",73,4.11,12.48,"11S",721,244
"2733","San Francisco Port Department : Port Events : Crown Princess (cruise ship)",31,29.03,20,"28S",720,381
"2734","San Francisco Public Works : Mechanical Street Sweeping Schedule",218,7.8,14.31,"21S",720,365
"2735","Board of Supervisors : Internship Opportunity",231,72.29,44.92,"2M 59S",719,532
"2736","City and County of San Francisco : South Light Court - 2 of 3",6,83.33,4.59,"5S",719,514
"2737","San Francisco Rent Board : Section 37.13 Keys",330,77.58,54.24,"2M 41S",719,632
"2738","Statistics | Rent Board",178,24.16,17.39,"39S",719,497
"2739","San Francisco SFGov",510,76.67,70.89,"2M 27S",718,513
"2740","City and County of San Francisco : Second Floor - 5 of 14",2,100,1.53,"6S",717,598
"2741","San Francisco Rent Board : Topic No. 308: Special Rules for Properties with Six or More Residential Units",137,89.78,29.99,"1M 41S",717,665
"2742","City and County of San Francisco : Election Results 2008",97,22.68,11.59,"1M 0S",716,386
"2743","City and County of San Francisco : Sweatfree Contracting Ordinance",213,65.73,37.48,"1M 33S",715,561
"2744","Mission Statement | Adult Probation Department",153,72.73,33.29,"1M 19S",715,561
"2745","San Francisco Police Department : Department News and Updates : Southern Police Station is Moving to the Public Safety Building",196,76.02,33.99,"53S",715,635
"2746","Fire Reports | Fire Department",235,67.51,47.06,"1M 44S",714,604
"2747","Office of the Mayor : News Releases : Mayor Lee Announces New Rush Hour Congestion Strategy",587,91.48,84.59,"2M 59S",714,671
"2748","Mayor's Office of Housing : Lender Workshops/Training",184,83.7,38.48,"1M 26S",712,633
"2749","San Francisco 311 : Servicios para Víctimas de San Francisco",573,82.72,80.06,"4M 13S",712,586
"2750","San Francisco Police Department : Video Production Unit",149,93.29,41.29,"47S",712,652
"2751","San Francisco Public Works : Paving, Mulch and Edge Treatment Material Options",203,18.72,30.34,"52S",712,355
"2752","Board of Supervisors : Ordinances 2008",64,82.81,27.43,"1M 9S",711,513
"2753","Controller : City & County of San Francisco Electronic Payment Startup Form",343,94.75,86.64,"3M 58S",711,650
"2754","Office of the Mayor : News Releases : Mayor Lee Announces Doubling of City’s First Time Home Buyer Down Payment Home Loan Assistance Program",616,89.94,85.51,"2M 52S",711,656
"2755","City and County of San Francisco : Volunteer and Internship Opportunities",232,80.17,35.49,"43S",710,509
"2756","Office of Economic and Workforce Development : WISF Members",409,87.53,66.2,"1M 55S",710,614
"2757","Project Pull",374,30.03,23.38,"1M 2S",710,468
"2758","San Francisco Port Department : 2762R Project Manual",214,0.47,27.18,"50S",710,229
"2759","San Francisco Public Works : District Fact Sheets",84,3.57,22.54,"56S",710,319
"2760","San Francisco Public Works : Partnering",189,20.11,31.45,"43S",709,335
"2761","Controller : Employment",372,86.29,65.82,"2M 24S",708,601
"2762","San Francisco Department of Human Resources : Mission Statement",176,82.95,35.88,"1M 13S",708,632
"2763","Mayor's Office of Housing : Process for Reselling a BMR Unit",333,72.07,56.15,"3M 18S",707,624
"2764","Mayor's Office of Housing and Community Development : MOHCD Housing Partners",128,87.5,22.21,"27S",707,620
"2765","San Francisco Port Department : March 24, 2015",48,14.58,22.21,"34S",707,299
"2766","Media browser | Shelter Monitoring Committee",2,0,0,"16S",706,270
"2767","Topic No. 260: Handling Repair Problems | Rent Board",76,68.42,31.16,"1M 40S",706,614
"2768","Board of Supervisors : Ordinances 2010",79,75.95,26.24,"1M 10S",705,517
"2769","Board of Supervisors : Press",55,72.73,24.72,"52S",704,584
"2770","City and County of San Francisco : Codes and Policies",88,47.73,33.52,"1M 53S",704,477
"2771","City and County of San Francisco : Urban Agriculture Ordinance",408,84.31,58.52,"1M 17S",704,625
"2772","City and County of San Francisco : Locations",307,74.27,57.04,"2M 4S",703,576
"2773","San Francisco Public Works : Schedule for Residential and Business Locations",211,23.22,21.19,"22S",703,373
"2774","Service Directory | Department on the Status of Women",32,34.38,15.24,"36S",702,521
"2775","Additional Information | Animal Care & Control",10,0,7.56,"21S",701,484
"2776","Film Commission : Local Film Festivals",320,87.19,61.57,"2M 9S",700,590
"2777","Mayor's Office of Housing and Community Development : Inclusionary Housing Program Information for Developers, Building Owners, Sales and Rental Agents",346,60.98,44,"1M 42S",700,539
"2778","San Francisco Port Department : 2762 Registration Form to Download Electronic Bid Documents",156,1.28,31.71,"31S",700,257
"2779","San Francisco 311 : Streetlight Repair",410,80,75.68,"3M 32S",699,619
"2780","San Francisco Police Department : Bob Fitzer Historian Of The Department",300,91.33,50.29,"1M 38S",698,647
"2781","Business Personal Property Tax due | Treasurer & Tax Collector",66,40.91,9.61,"29S",697,548
"2782","Mayor's Disability Council",127,28.35,15.93,"1M 18S",697,369
"2783","San Francisco 311 : Property Sold - Previous Owner Received Statement - 400123",552,81.88,79.71,"7M 3S",695,572
"2784","Division of Emergency Medical Services | Fire Department",125,34.4,15.44,"40S",693,510
"2785","San Francisco Rent Board : 主題編號201：正當理由迫遷簡介",101,73.27,20.92,"2M 15S",693,560
"2786","Overview of HRC Publications | Human Rights Commission",32,43.75,13.15,"41S",692,569
"2787","City and County of San Francisco : North Light Court - 6 of 6",3,33.33,5.35,"11S",691,579
"2788","San Francisco 311 : Golden Gate Park - List of Public Restrooms (bathrooms) - 106931",579,85.66,82.92,"2M 48S",691,584
"2789","City and County of San Francisco : About the Manager",222,57.66,44.2,"1M 30S",690,583
"2790","Appeal Process Resources | Board of Appeals",22,45.45,18.72,"1M 10S",689,397
"2791","Board of Supervisors : Members",41,65.85,18.46,"57S",688,534
"2792","City and County of San Francisco : Multilingual Voter Services",138,73.91,35.32,"1M 48S",688,481
"2793","Controller : Status Check",266,83.46,69.77,"1M 55S",688,563
"2794","San Francisco Rent Board : Topic No. 353: Failure to Repair and Maintain Petitions",79,68.35,25.33,"1M 37S",687,633
"2795","City and County of San Francisco : Convention Facilities Department",257,54.86,34.26,"1M 5S",686,467
"2796","San Francisco Department of Emergency Management : ACS Radio Nets",266,66.54,46.06,"1M 39S",686,524
"2797","San Francisco District Attorney : DISTRICT ATTORNEY EXPANDS TASKFORCE INVESTIGATING OFFICER MISCONDUCT",541,91.5,82.07,"2M 49S",686,629
"2798","San Francisco Police Department : Department News and Updates : SFPD Investigators Seek Assistance in Assault of Elderly Woman",586,91.3,83.67,"1M 43S",686,646
"2799","San Francisco Rent Board : California Superior Court Strikes Ordinance Amendment re Increased Relocation Payments to Tenants in Ellis Evictions",99,56.57,22.89,"1M 49S",686,607
"2800","Wooden Ladders | Fire Department",616,73.26,88.48,"4M 1S",686,641
"2801","San Francisco Fire Department : 4.13 Sprinkler & Standpipe Flow Rate and Required Pressures",609,90.8,85.55,"2M 31S",685,635
"2802","Violence Against Women & Girls in San Francisco | Department on the Status of Women",503,73.36,70.8,"2M 2S",685,527
"2803","Office of Small Business",281,34.75,27.34,"1M 50S",684,375
"2804","San Francisco Rent Board : Topic No. 311: How to Notify Tenants of a Capital Improvement Increase",91,83.52,22.66,"1M 36S",684,617
"2805","City and County of San Francisco : Second Floor - 7 of 14",5,20,1.9,"10S",683,558
"2806","San Francisco Department of Human Resources : Additional Resources",109,79.82,36.46,"1M 35S",683,540
"2807","San Francisco Port Department : Port Events : Queen Elizabeth (cruise ship)",63,26.98,22.99,"24S",683,336
"2808","Forms & Publications | Board of Appeals",19,42.11,17.89,"1M 20S",682,440
"2809","Controller : Deputy Controller's Biography",334,76.65,48.9,"1M 13S",681,588
"2810","City and County of San Francisco : Second Floor - 6 of 14",0,0,1.47,"3S",680,568
"2811","Reports | Local Homeless Coordinating Board",217,74.19,66.91,"3M 40S",680,579
"2812","San Francisco Department of Human Resources : Bargaining 2014: Information Database (Keeping You Informed)",89,70.79,24.85,"1M 14S",680,520
"2813","Search | Southeast Community Facility Commission",7,57.14,7.35,"16S",680,626
"2814","Mayor's Office of Housing and Community Development : SoMa Community Stabilization Fund",137,90.51,36.48,"1M 20S",677,615
"2815","Office of the Mayor : News Releases : Mayor Lee Announces San Francisco to Use Renewable Diesel in City Fleet",486,85.39,77.99,"3M 21S",677,602
"2816","For Your Information - Page Not Found | Fire Department",437,83.3,64.35,"1M 17S",676,579
"2817","Mayor's Office of Housing : Information for Inclusionary Housing Program BMR Owners",233,37.34,29.44,"55S",676,521
"2818","Office of Economic and Workforce Development : Development",164,84.15,35.8,"57S",676,559
"2819","Delinquent Payments | Department of Child Support Services",140,70.71,32.44,"1M 29S",675,549
"2820","San Francisco : Arts Commission",432,77.08,68.3,"2M 37S",675,543
"2821","San Francisco Port Department : Southern Waterfront",33,9.09,11.85,"21S",675,270
"2822","San Francisco Port Department : 2767 Fisherman's Wharf Triangle Lot & SWL 321 Pedestrian Circulation Improvement",11,9.09,1.63,"4S",674,333
"2823","Mayor's Office of Housing : Downpayment Assistance for BMR Units",136,73.53,27.04,"1M 26S",673,548
"2824","San Francisco Police Department : Juvenile & Family Services: Juvenile Curfew",602,91.86,88.11,"1M 53S",673,626
"2825","City and County of San Francisco : Effective Communication",47,70.21,22.02,"2M 15S",672,325
"2826","City and County of San Francisco : Government Codes",147,69.39,40.77,"2M 13S",672,462
"2827","Department of Children, Youth and Their Families : Nutrition Programs",283,66.78,47.17,"1M 42S",672,525
"2828","Homeless Program: Mayor Announces Bold Goal to Help 8,000 People Out of Homelessness | Welcome",87,60.23,40.18,"2M 42S",672,566
"2829","Office of the Mayor : Contact Us",396,79.04,64.29,"1M 6S",672,591
"2830","San Francisco Police Department : How to Apply",406,54.19,38.24,"42S",672,561
"2831","San Francisco Police Department : Special Investigations Div: GTF",477,74.84,63.54,"1M 35S",672,540
"2832","San Francisco Public Works : Van Ness Avenue Enhancement Project",164,17.07,27.98,"21S",672,348
"2833","How to file a Sanctuary City Ordinance Complaint | Human Rights Commission",428,82.98,66.47,"2M 2S",671,575
"2834","Mayor's Office of Housing and Community Development : Rehabilitation Programs for Low Income Owner-Occupants",449,48.78,47.84,"1M 51S",671,498
"2835","Resources | Department of Building Inspection",20,52.38,26.83,"1M 48S",671,488
"2836","San Francisco Healthy and Sustainable Food Policy | San Francisco Food",88,64.77,34.43,"1M 54S",671,479
"2837","Mayor's Office of Housing and Community Development : Homeowner Resources",315,70.79,52.39,"1M 39S",670,517
"2838","San Francisco Fire Department : Photo Gallery: 5 Alarm Fire (March 11, 2014)",665,100,99.55,"26S",670,670
"2839","San Francisco Port Department : Engineering",41,12.2,10.9,"24S",670,214
"2840","New Eviction Notice Requirements as of November 9, 2015 | Rent Board",226,69.3,43.65,"2M 7S",669,575
"2841","Resource Center | Board of Appeals",17,23.53,6.14,"32S",668,386
"2842","San Francisco Department of Human Resources : ERD News You Can Use",297,82.83,49.4,"1M 17S",668,539
"2843","San Francisco District Attorney : Crime Victim Compensation",96,75,26.5,"1M 15S",668,541
"2844","Topic No. 251: General Lease Issues | Rent Board",153,68.42,31.33,"1M 34S",667,580
"2845","SFGov : Programs and Projects",10,80,6.01,"7S",666,577
"2846","Assistance Programs | Treasurer & Tax Collector",37,51.35,22.52,"1M 11S",666,560
"2847","Mayor's Office of Housing : Asset Management - Multifamily Rental Housing",437,75.06,66.02,"3M 42S",665,535
"2848","City and County of San Francisco : OCEIA Staff",356,73.67,53.46,"1M 42S",664,541
"2849","City and County of San Francisco : Department of Public Works",454,62.78,59.19,"1M 22S",664,476
"2850","San Francisco Public Works : Chinatown Alleyway Renovation Program",179,15.64,28.77,"34S",664,328
"2851","Board of Supervisors : 6. Information Technology Systems Inventory Management",614,93.32,92.46,"6M 23S",663,616
"2852","Mayor's Office of Housing : Documents, Reports and Forms",240,78.75,48.27,"1M 58S",663,489
"2853","San Francisco Port Department : Micro-LBE Set Aside Digital Newsletter",24,8.33,12.39,"24S",662,293
"2854","Library Citizens Advisory Committee | Library Citizens Advisory Committee",10,30,20.88,"15S",661,485
"2855","San Francisco Public Works : Great Highway Pavement Renovation and Streetscape Improvement Project",200,23.5,31.52,"42S",660,344
"2856","City and County of San Francisco : Awardees",20,15,7.27,"21S",660,446
"2857","Finance Options for the Mandatory Soft Story Program | Department of Building Inspection",64,58.21,33.79,"2M 7S",660,480
"2858","Forms - Fictitious Business Name | Office of the County Clerk",18,24,46.82,"4M 2S",660,510
"2859","San Francisco GovTV : Program Schedule",354,72.03,58.79,"2M 13S",660,547
